,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
1560,Toyota Land Cruiser,Toyota,Land Cruiser,2005,12500000,Б/у,внедорожник,4.7,бензин,КПП автомат,325000,черный,"металлик, Европеец VX Рестайлинг..."
1567,Mercedes-Benz Sprinter,Mercedes-Benz,Sprinter,2015,9500000,Б/у,фургон,2.2,дизель,КПП механика,226000,белый,велюр
1569,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2020,4500000,Б/у,внедорожник,1.7,бензин,КПП механика,150000,синий,"металлик, тонировка, ветровики, ф..."
1573,Kia Cerato,Kia,Cerato,2013,6500000,Б/у,седан,1.6,бензин,КПП автомат,220000,белый,"литые диски, тонировка, ветровики, дневн..."
1575,Mazda 3,Mazda,3,2004,2500000,Б/у,хэтчбек,1.6,бензин,КПП механика,400000,синий,"литые диски, тонировка, люк, ветровик..."
1576,Hyundai Accent,Hyundai,Accent,2020,7000000,Б/у,седан,1.4,бензин,КПП автомат,180000,белый,"металлик, тонировка, линзованная оптика,..."
1579,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2018,3750000,Б/у,седан,1.6,бензин,КПП автомат,127500,белый,"тонировка, ветровики, хрустальная оптика..."
1580,Audi 100,Audi,100,1990,1500000,Б/у,седан,2.3,бензин,КПП механика,345000,синий,"металлик, литые диски, тонировка, люк,..."
1581,Toyota Camry,Toyota,Camry,2016,12500000,Б/у,седан,2.5,бензин,КПП автомат,87500,черный,"дневные ходовые огни, противотуманки, ом..."
1582,Nissan Almera,Nissan,Almera,2014,4600000,Б/у,седан,1.6,бензин,КПП автомат,122000,тонировка,"ветровики, хрустальная оптика, проти..."
1583,Volvo XC90,Volvo,XC90,2008,7800000,Б/у,кроссовер,2.5,бензин,КПП автомат,180000,черный,"металлик, кожа, климат-контроль, На..."
1585,Toyota Camry,Toyota,Camry,2020,12000000,Б/у,седан,2.5,бензин,КПП автомат,75000,серебристый,"металлик, литые диски, тонировка, б..."
1587,Lexus GX 460,Lexus,GX 460,2020,32000000,Б/у,внедорожник,4.6,бензин,КПП автомат,47000,серый,"металлик, литые диски, тонировка, л..."
1590,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5320000,Б/у,седан,1.5,бензин,КПП автомат,54363,серый,"дневные ходовые огни, противотуманки, вел..."
1593,Toyota Camry,Toyota,Camry,2019,15000000,Б/у,седан,2.5,бензин,КПП автомат,106000,белый,"металлик, литые диски, тонировка, ветров..."
1595,Toyota Camry,Toyota,Camry,2019,12510000,Б/у,седан,2.5,бензин,КПП автомат,101062,белый,"литые диски, тонировка, дневные ходовые..."
1596,Hyundai Elantra,Hyundai,Elantra,2022,8590000,Б/у,седан,1.6,бензин,КПП автомат,211460,белый,"литые диски, тонировка, ветровики, дневн..."
1597,Hyundai Accent,Hyundai,Accent,2021,6630000,Б/у,седан,1.6,бензин,КПП автомат,83427,серый,"тонировка, дневные ходовые огни, противот..."
1598,Nissan Patrol,Nissan,Patrol,2013,14500000,Б/у,внедорожник,5.6,бензин,КПП автомат,186000,черный,"металлик, литые диски, тонировка,..."
1599,Volkswagen Polo,Volkswagen,Polo,2016,5030000,Б/у,седан,1.6,бензин,КПП автомат,203069,коричневый,"тонировка, дневные ходовые огни, пр..."
1601,Daewoo Matiz,Daewoo,Matiz,2010,1550000,Б/у,хэтчбек,0.8,бензин,КПП механика,195000,металлик,"тонировка, спойлер, ветровики, про..."
1602,Chevrolet Cruze,Chevrolet,Cruze,2013,3550000,Б/у,седан,1.8,бензин,КПП автомат,130077,серый,"литые диски, тонировка, ветровики, дневн..."
1603,Chevrolet Nexia,Chevrolet,Nexia,2021,4620000,Б/у,седан,1.5,бензин,КПП автомат,68672,серый,"тонировка, дневные ходовые огни, противот..."
1606,Mitsubishi Space Wagon,Mitsubishi,Space Wagon,2001,2400000,Б/у,минивэн,2.4,бензин,КПП механика,490000,серый,"литые диски, тонировка, люк, фаркоп,..."
1610,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2008,12200000,Б/у,внедорожник,2.7,бензин,КПП автомат,132000,черный,"металлик, кожа, дерево, климат-ко..."
1613,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2014,3900000,Б/у,седан,1.6,бензин,КПП механика,160000,черный,"литые диски, тонировка, люк, ксенон, в..."
1614,Kia Cee'd,Kia,Cee'd,2023,10400000,Б/у,универсал,1.6,бензин,КПП автомат,40000,металлик,"литые диски, тонировка, спойлер, в..."
1615,Kia Cerato,Kia,Cerato,2014,4700000,Б/у,седан,1.6,бензин,КПП механика,256548,черный,"литые диски, тонировка, обогрев зеркал..."
1617,Hyundai Matrix,Hyundai,Matrix,2007,3700000,Б/у,минивэн,1.8,бензин,КПП автомат,171000,серый,"литые диски, тонировка, багажник, днев..."
1621,Chevrolet Cruze,Chevrolet,Cruze,2013,4300000,Б/у,седан,1.8,бензин,КПП автомат,215000,белый,"металлик, литые диски, тонировка, ветров..."
1622,Toyota RAV4,Toyota,RAV4,2012,9800000,Б/у,кроссовер,2.4,бензин,КПП автомат,187000,серый,"металлик, литые диски, тонировка, сп..."
1623,Mercedes-Benz G 63 AMG,Mercedes-Benz,G 63 AMG,2014,36000000,Б/у,внедорожник,5.5,бензин,КПП автомат,125000,черный,"кожа, В родном окрасе. Покупалась..."
1624,ВАЗ (Lada) XRAY Cross,ВАЗ,(Lada) XRAY Cross,2020,7500000,Б/у,хэтчбек,1.6,бензин,КПП вариатор,21000,белый,"литые диски, тонировка, ветровики, лин..."
1626,Chevrolet Cobalt,Chevrolet,Cobalt,2022,6500000,Б/у,седан,1.5,бензин,КПП автомат,45000,белый,"литые диски, алькантара, шторки, кондицио..."
1628,Mercedes-Benz S 450,Mercedes-Benz,S 450,2007,8000000,Б/у,седан,4.7,бензин,КПП автомат,115000,черный,"металлик, литые диски, люк, ветровики,..."
1631,Toyota Camry,Toyota,Camry,2023,17900000,Б/у,седан,2.5,бензин,КПП автомат,25000,белый,"кожа, климат-контроль, КАМРИ 75. Первый в..."
1632,Kia Rio,Kia,Rio,2020,7400000,Б/у,седан,1.6,бензин,КПП автомат,81000,черный,"металлик, литые диски, тонировка, дневны..."
1633,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2015,2650000,Б/у,седан,1.6,бензин,КПП механика,204000,белый,"металлик, тонировка, ветровики, противо..."
1634,Lexus GX 470,Lexus,GX 470,2004,11000000,Б/у,внедорожник,4.7,бензин,КПП автомат,250000,белый,"металлик, тонировка, люк, ветровик..."
1636,Toyota Corolla,Toyota,Corolla,2008,3200000,Б/у,седан,1.6,бензин,КПП автомат,350000,черный,"противотуманки, корректор фар, велюр, а..."
1640,Kia Sportage,Kia,Sportage,2024,13500000,Б/у,кроссовер,1.5,бензин,КПП автомат,8,черный,"металлик, Новый автомобиль без ПРОБЕГА Дв..."
1641,Lexus RX 350,Lexus,RX 350,2014,14500000,Б/у,кроссовер,3.5,бензин,КПП автомат,138288,серый,"металлик, тонировка, люк, обвес, хру..."
1645,Land Rover Range Rover Sport,Land,Rover Range Rover Sport,2007,8700000,Б/у,внедорожник,4.2,бензин,КПП автомат,230000,серый,"литые диски, тонировка, люк, спойл..."
1646,Cadillac Escalade,Cadillac,Escalade,2019,33000000,Б/у,внедорожник,6.2,бензин,КПП автомат,116000,белый,"металлик, литые диски, тонировка,..."
1647,Toyota Camry,Toyota,Camry,2019,11500000,Б/у,седан,2.5,бензин,КПП автомат,105000,синий,"металлик, литые диски, тонировка, спойле..."
1648,ГАЗ ГАЗель NEXT,ГАЗ,ГАЗель NEXT,2022,16000000,Б/у,пикап,2.7,газ-бензин,КПП механика,76000,белый,Машина выехала с салона в феврале 23...
1651,Audi A6,Audi,A6,2005,3600000,Б/у,седан,2.4,бензин,КПП вариатор,276000,голубой,"металлик, литые диски, тонировка, хру..."
1653,ВАЗ (Lada) Granta 2191,ВАЗ,(Lada) Granta 2191,2017,3000000,Б/у,лифтбек,1.6,бензин,КПП механика,228044,металлик,"ГУР, ABS, центрозамок, налог уплач..."
1654,Toyota Camry,Toyota,Camry,2014,9000000,Б/у,седан,2.5,бензин,КПП автомат,180000,металлик,"литые диски, тонировка, линзованная о..."
1657,Toyota Camry,Toyota,Camry,2013,7400000,Б/у,седан,2.5,бензин,КПП автомат,305710,черный,"тонировка, ксенон, линзованная оптика,..."
1660,Toyota Highlander,Toyota,Highlander,2016,14200000,Б/у,кроссовер,3.5,бензин,КПП автомат,210000,серый,"тонировка, люк, спойлер, ветровики,..."
1664,Hyundai Accent,Hyundai,Accent,2021,6950000,Б/у,седан,1.6,бензин,КПП автомат,190000,черный,"металлик, тонировка, ветровики, велюр,..."
1665,Toyota Corolla,Toyota,Corolla,2017,8400000,Б/у,седан,1.6,бензин,КПП вариатор,117000,белый,"металлик, литые диски, тонировка, кенгу..."
1666,Kia Cee'd,Kia,Cee'd,2024,11200000,Б/у,универсал,1.6,бензин,КПП автомат,6650,металлик,Жазғы 4 шт жаңа пакришкаларымен бір...
1668,Lexus RX 350,Lexus,RX 350,2008,10700000,Б/у,кроссовер,3.5,бензин,КПП автомат,162000,белый,"металлик, литые диски, тонировка, лю..."
1673,Toyota Highlander,Toyota,Highlander,2024,28500000,Б/у,кроссовер,2.5,гибрид,КПП автомат,1200,белый,"металлик, спортивный режим, автозапуск..."
1675,Hyundai Creta,Hyundai,Creta,2019,8500000,Б/у,кроссовер,1.6,бензин,КПП автомат,110000,серебристый,"металлик, тонировка, ветровики..."
1676,JAC J7,JAC,J7,2023,7600000,Б/у,лифтбек,1.5,бензин,КПП вариатор,33333,белый,"металлик, литые диски, тонировка, люк,..."
1677,Kia Rio,Kia,Rio,2015,5000000,Б/у,седан,1.6,бензин,КПП автомат,400000,серый,"металлик, дневные ходовые огни, противот..."
1679,Chevrolet Cobalt,Chevrolet,Cobalt,2024,7500000,Б/у,седан,1.5,бензин,КПП автомат,5000,противотуманки,"велюр, аудиосистема, встроенный т..."
1680,Kia K5,Kia,K5,2021,13700000,Б/у,седан,1.6,бензин,КПП автомат,45000,белый,"металлик, кожа, климат-контроль, KIA K5 1..."
1681,Volkswagen Polo,Volkswagen,Polo,2014,4990000,Б/у,седан,1.6,бензин,КПП автомат,188000,белый,"багажник, велюр, аудиосистема, USB, ГУР,..."
1682,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2020,4100000,Б/у,седан,1.6,бензин,КПП механика,89000,белый,"тонировка, аудиосистема, ГУР, ABS, сигна..."
1684,Toyota Sienna,Toyota,Sienna,2016,10000000,Б/у,минивэн,3.5,бензин,КПП автомат,236000,серый,"металлик, литые диски, люк, спойлер, р..."
1689,BMW X7,BMW,X7,2023,80000000,Б/у,кроссовер,4.4,бензин,КПП автомат,25000,черный,"налог уплачен, вложений не требует,..."
1690,Toyota Camry,Toyota,Camry,2004,4300000,Б/у,седан,2.4,бензин,КПП автомат,111111,серый,"металлик, литые диски, велюр, кондиционе..."
1692,Chevrolet Cobalt,Chevrolet,Cobalt,2024,7200000,Б/у,седан,1.5,бензин,КПП автомат,12000,серебристый,"металлик, литые диски, тонировка, в..."
1693,Toyota Camry,Toyota,Camry,2019,10900000,Б/у,седан,2.5,бензин,КПП автомат,90000,синий,"металлик, литые диски, тонировка, ксенон,..."
1695,Honda Breeze,Honda,Breeze,2021,13000000,Б/у,кроссовер,1.5,бензин,КПП вариатор,26000,черный,"литые диски, панорамная крыша, спой..."
1696,Toyota Land Cruiser,Toyota,Land Cruiser,2013,25000000,Б/у,внедорожник,4.6,бензин,КПП автомат,107000,серый,"металлик, Машина в Идеальном состо..."
1697,Kia Sportage,Kia,Sportage,2022,15900000,Б/у,кроссовер,1.6,бензин,КПП робот,27100,черный,"металлик, литые диски, тонировка, ксен..."
1699,Volkswagen Sharan,Volkswagen,Sharan,2000,2700000,Б/у,минивэн,2.8,бензин,КПП автомат,25808,зеленый,"кондиционер, Газ бензин саудасы бар"
1700,Toyota Vellfire,Toyota,Vellfire,2014,8300000,Б/у,минивэн,3.5,бензин,КПП автомат,150000,белый,"металлик, Машина жағдайы өте жақсы, ва..."
1701,Lexus LX 470,Lexus,LX 470,2007,14800000,Б/у,внедорожник,4.7,бензин,КПП автомат,200,белый,"металлик, литые диски, тонировка, люк,..."
1702,Hyundai Palisade,Hyundai,Palisade,2022,21500000,Б/у,кроссовер,3.5,бензин,КПП автомат,48000,черный,"металлик, * Приобретали у официально..."
1709,Mercedes-Benz S 55,Mercedes-Benz,S 55,2004,9900000,Б/у,седан,5.4,бензин,КПП автомат,269000,черный,"металлик, литые диски, люк, обвес, ксен..."
1715,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2015,3750000,Б/у,внедорожник,1.7,бензин,КПП механика,34172,белый,Машина в идеальном состоянии храни...
1717,Daewoo Nexia,Daewoo,Nexia,2011,1750000,Б/у,седан,1.5,бензин,КПП механика,280000,серебристый,"металлик, литые диски, тонировка,..."
1719,Kia Rio,Kia,Rio,2019,7100000,Б/у,седан,1.6,бензин,КПП автомат,91000,черный,"металлик, велюр, ГУР, ABS, SRS, сигнализ..."
1721,Toyota Corolla,Toyota,Corolla,2005,3300000,Б/у,седан,1.6,бензин,КПП механика,390000,белый,"металлик, литые диски, тонировка, багаж..."
1723,Hyundai Accent,Hyundai,Accent,2021,8200000,Б/у,седан,1.6,бензин,КПП автомат,35000,черный,"металлик, тонировка, ветровики, дневные..."
1724,Chevrolet Cobalt,Chevrolet,Cobalt,2022,6000000,Б/у,седан,1.5,бензин,КПП автомат,127000,серебристый,"металлик, литые диски, тонировка,..."
1726,Mitsubishi Outlander,Mitsubishi,Outlander,2002,3600000,Б/у,кроссовер,2.4,бензин,КПП автомат,386160,металлик,"литые диски, тонировка, люк, бага..."
1731,Toyota Corolla,Toyota,Corolla,2019,9200000,Б/у,седан,1.6,бензин,КПП вариатор,163000,белый,"металлик, литые диски, тонировка, линзо..."
1732,Mercedes-Benz SL 320,Mercedes-Benz,SL 320,1993,7900000,Б/у,родстер,3.2,бензин,КПП автомат,158000,Документы в полном порядке,можно обмен на ро...
1735,Mercedes-Benz E 350,Mercedes-Benz,E 350,2009,8400000,Б/у,седан,3.5,бензин,КПП автомат,237000,серый,"металлик, панорамная крыша, биксенон, дн..."
1737,Hyundai Grandeur,Hyundai,Grandeur,2023,23000000,Б/у,седан,2.5,бензин,КПП автомат,7500,черный,"металлик, Комплектация «каллиграфия», бро..."
1739,Toyota Hilux,Toyota,Hilux,2019,16500000,Б/у,пикап,2.4,дизель,КПП механика,180000,белый,"тонировка, противотуманки, омыватель фа..."
1740,Skoda Rapid,Skoda,Rapid,2015,5000000,Б/у,лифтбек,1.4,бензин,КПП робот,205000,синий,"металлик, литые диски, тонировка, хруста..."
1742,Mitsubishi Pajero Sport,Mitsubishi,Pajero Sport,2008,4000000,Б/у,внедорожник,2.5,дизель,КПП механика,90000,синий,"металлик, литые диски, тонировка,..."
1744,Toyota Camry,Toyota,Camry,2021,18000000,Б/у,седан,2.5,бензин,КПП автомат,44000,белый,"кожа, климат-контроль"
1746,Hyundai Santa Fe,Hyundai,Santa Fe,2016,8000000,Б/у,кроссовер,2.4,бензин,КПП автомат,116580,серебристый,"металлик, литые диски, тониров..."
1752,Cadillac CTS,Cadillac,CTS,2017,38000000,Б/у,седан,6.2,бензин,КПП автомат,76000,черный,Цена на обмен! Единственный в рк! В изум...
1753,Toyota Corolla,Toyota,Corolla,2010,5000000,Б/у,седан,1.8,бензин,КПП автомат,271,серый,"велюр, кондиционер, Жағдайы жақсы әйел адам..."
1754,Nissan Patrol,Nissan,Patrol,2013,14500000,Б/у,внедорожник,5.6,бензин,КПП автомат,220000,черный,"металлик, литые диски, тонировка,..."
1756,Cadillac Escalade,Cadillac,Escalade,2022,65000000,Б/у,внедорожник,6.2,бензин,КПП автомат,30000,белый,"Машина в отличном состоянии, один х..."
1760,Toyota Corolla,Toyota,Corolla,2019,9500000,Б/у,седан,1.6,бензин,КПП вариатор,20000,литые диски,"тонировка, велюр, кондиционер"
1763,Chevrolet Monza,Chevrolet,Monza,2023,7750000,Б/у,седан,1.5,бензин,КПП робот,40,белый,"металлик, литые диски, люк, биксенон, хрустальн..."
1764,Hyundai Sonata,Hyundai,Sonata,2016,4800000,Б/у,седан,2.4,бензин,КПП автомат,113000,серебристый,"металлик, багажник, ксенон, против..."
1765,BMW 523,BMW,523,1998,2222000,Б/у,седан,2.5,бензин,КПП автомат,333,зеленый,"люк, ксенон, биксенон, хрустальная оптика,..."
1766,Mercedes-Benz E 350,Mercedes-Benz,E 350,2007,8200000,Б/у,седан,3.5,бензин,КПП автомат,301000,черный,"люк, панорамная крыша, хрустальная опти..."
1769,Subaru Legacy,Subaru,Legacy,1991,1300000,Б/у,универсал,2.2,бензин,КПП механика,335000,красный,"литые диски, люк, багажник, фарко..."
1771,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,1997,11000000,Б/у,внедорожник,3.4,бензин,КПП автомат,269000,серый,"литые диски, тонировка, люк, ветро..."
1778,Hyundai Starex,Hyundai,Starex,2016,9900000,Б/у,минивэн,2.5,дизель,КПП автомат,143549,серый,"металлик, литые диски, тонировка, ветр..."
1781,Mercedes-Benz E 230,Mercedes-Benz,E 230,1992,2000000,Б/у,седан,2.3,бензин,КПП автомат,450000,черный,"металлик, литые диски, тонировка, люк,..."
1782,Daewoo Nexia,Daewoo,Nexia,2012,1300000,Б/у,седан,1.5,бензин,КПП механика,291374,бронза,"велюр, налог уплачен, Келсім бар"
1783,Lexus GX 470,Lexus,GX 470,2004,10000000,Б/у,внедорожник,4.7,бензин,КПП автомат,251000,черный,"металлик, люк, ветровики, багажни..."
1784,Volkswagen Tiguan,Volkswagen,Tiguan,2016,7500000,Б/у,кроссовер,1.4,бензин,КПП робот,169000,бежевый,"литые диски, тонировка, ветровики, х..."
1785,Kia Optima,Kia,Optima,2020,9450000,Б/у,седан,2.4,бензин,КПП автомат,125000,белый,"литые диски, тонировка, ветровики, хруст..."
1788,Mitsubishi Outlander,Mitsubishi,Outlander,2003,3700000,Б/у,кроссовер,2.4,бензин,КПП автомат,357858,серебристый,"металлик, литые диски, люк, ба..."
1789,Kia Rio,Kia,Rio,2015,5700000,Б/у,хэтчбек,1.4,бензин,КПП автомат,149000,серый,"металлик, литые диски, тонировка, линз..."
1791,Toyota Camry,Toyota,Camry,2022,16500000,Б/у,седан,2.5,бензин,КПП автомат,59000,черный,"кожа, аудиосистема, встроенный телефон,..."
1794,Toyota Land Cruiser,Toyota,Land Cruiser,2019,41000000,Б/у,внедорожник,4.6,бензин,КПП автомат,85000,металлик,Куплен в авто салоне в КЗ Полный...
1797,Hyundai Elantra,Hyundai,Elantra,2024,12000000,Б/у,седан,1.6,бензин,КПП автомат,7700,черный,"противотуманки, велюр, bluetooth, зимний..."
1798,Li L7,Li,L7,2023,24000000,Б/у,кроссовер,1.5,гибрид,КПП автомат,25000,белый,"металлик, велюр, кожа, алькантара, Li..."
1799,ВАЗ (Lada) Granta 2191,ВАЗ,(Lada) Granta 2191,2021,4200000,Б/у,лифтбек,1.6,бензин,КПП механика,102000,серебристый,"литые диски, тонировка, климат-..."
1801,Hyundai Accent,Hyundai,Accent,2020,7800000,Б/у,седан,1.6,бензин,КПП автомат,76000,серебристый,"литые диски, тонировка, багажник, к..."
1802,Audi 100,Audi,100,1993,2500000,Б/у,седан,2.6,бензин,КПП механика,364000,серебристый,"металлик, литые диски, тонировка,..."
1804,Porsche Cayenne,Porsche,Cayenne,2009,8500000,Б/у,кроссовер,3.6,бензин,КПП автомат,233000,черный,"кожа, На обмен дороже будет"
1806,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2012,1450000,Б/у,хэтчбек,1.5,бензин,КПП механика,365000,серебристый,"велюр, аудиосистема, USB"
1807,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2014,3100000,Б/у,седан,1.6,бензин,КПП механика,187000,белый,"металлик, литые диски, тонировка, дневн..."
1808,Toyota Camry,Toyota,Camry,2023,15673788,Б/у,седан,2.5,гибрид,КПП автомат,113200,белый,"металлик, литые диски, тонировка, люк, с..."
1809,Skoda Rapid,Skoda,Rapid,2012,2000000,Б/у,лифтбек,1.2,бензин,КПП механика,130000,белый,"металлик, дневные ходовые огни, проти..."
1810,Mercedes-Benz E 230,Mercedes-Benz,E 230,1992,1850000,Б/у,седан,2.3,бензин,КПП механика,408000,серебристый,"металлик, люк, ксенон, биксенон,..."
1811,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2020,23900000,Б/у,внедорожник,2.7,бензин,КПП автомат,97000,черный,"металлик, кожа, климат-контроль, т..."
1812,Hyundai Santa Fe,Hyundai,Santa Fe,2022,19500000,Б/у,кроссовер,2.5,бензин,КПП автомат,49500,коричневый,"металлик, литые диски, тонировка..."
1814,Chevrolet Cobalt,Chevrolet,Cobalt,2023,7000000,Б/у,седан,1.5,бензин,КПП автомат,25785,бирюзовый,"металлик, литые диски, тонировка, дне..."
1817,Ravon R4,Ravon,R4,2020,5800000,Б/у,седан,1.5,бензин,КПП автомат,78000,серебристый,"литые диски, тонировка, ветровики,..."
1818,ГАЗ ГАЗель,ГАЗ,ГАЗель,2003,3700000,Б/у,пикап,2.9,газ-бензин,КПП механика,250000,белый,Матор 406 карбиротар 2.7 бгаз бензи...
1821,Hyundai Accent,Hyundai,Accent,2011,4100000,Б/у,седан,1.6,бензин,КПП механика,15000,серебристый,"металлик, тонировка, ветровики, кс..."
1823,BMW X5,BMW,X5,2002,5500000,Б/у,кроссовер,4.4,бензин,КПП автомат,202000,зеленый,"литые диски, кожа, климат-контроль..."
1824,ВАЗ (Lada) 2110,ВАЗ,(Lada) 2110,2012,1550000,Б/у,седан,1.6,бензин,КПП механика,220000,серый,"металлик, обвес, ГУР, ABS, сигнализация..."
1825,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2006,10500000,Б/у,внедорожник,2.7,бензин,КПП автомат,400000,белый,"тонировка, хрустальная оптика, лин..."
1826,Kia Cerato,Kia,Cerato,2013,5240000,Б/у,седан,1.6,бензин,КПП автомат,322050,белый,"тонировка, дневные ходовые огни, противо..."
1831,Audi 100,Audi,100,1992,1350000,Б/у,седан,2.3,бензин,КПП механика,284000,зеленый,"металлик, литые диски, люк, хрустальн..."
1833,Mercedes-Benz Sprinter,Mercedes-Benz,Sprinter,2021,18270000,Б/у,фургон,2.2,дизель,КПП механика,168000,белый,"металлик, Авто в наличии у нас на объе..."
1835,Volkswagen Polo,Volkswagen,Polo,2021,7950000,Б/у,лифтбек,1.6,бензин,КПП автомат,100000,белый,"ксенон, линзованная оптика, велюр, кон..."
1837,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2021,5400000,Б/у,внедорожник,1.7,бензин,КПП механика,10800,белый,"литые диски, ветровики, фаркоп, дн..."
1838,ВАЗ (Lada) 2106,ВАЗ,(Lada) 2106,1987,850000,Б/у,седан,1.5,бензин,КПП механика,75000,зеленый,"металлик, тонировка, хрустальная оптик..."
1840,Toyota RAV4,Toyota,RAV4,2018,12000000,Б/у,кроссовер,2.5,бензин,КПП автомат,104,черный,"литые диски, тонировка, люк, панорамная..."
1842,Toyota Corolla,Toyota,Corolla,2011,6800000,Б/у,седан,1.8,бензин,КПП автомат,233160,белый,"металлик, литые диски, тонировка, спойле..."
1843,Audi A4,Audi,A4,1998,2500000,Б/у,седан,1.8,бензин,КПП автомат,232000,синий,"литые диски, велюр, дерево, климат-контр..."
1844,Chevrolet Lacetti,Chevrolet,Lacetti,2023,7490000,Б/у,седан,1.5,бензин,КПП автомат,28134,серый,"литые диски, дневные ходовые огни, против..."
1845,Ravon R2,Ravon,R2,2016,4050000,Б/у,хэтчбек,1.2,бензин,КПП автомат,99000,черный,"металлик, литые диски, велюр, bluetoot..."
1847,Mercedes-Benz C 180,Mercedes-Benz,C 180,1994,3000000,Б/у,седан,1.8,бензин,КПП механика,364,белый,"В идеальном состоянии, 7 местная, очень вме..."
1850,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2020,3490000,Б/у,седан,1.6,бензин,КПП механика,141838,белый,"тонировка, ветровики, дневные ходовые о..."
1851,Kia K5,Kia,K5,2023,14420000,Б/у,седан,2.5,бензин,КПП автомат,13907,белый,"литые диски, тонировка, дневные ходовые о..."
1852,Hyundai Tucson,Hyundai,Tucson,2022,12550000,Б/у,кроссовер,2.5,бензин,КПП автомат,65194,черный,"литые диски, тонировка, дневные ходо..."
1854,Volkswagen Touareg,Volkswagen,Touareg,2003,4700000,Б/у,кроссовер,3.2,бензин,КПП автомат,400000,черный,"металлик, литые диски, тонировка, л..."
1857,Toyota Corolla,Toyota,Corolla,2022,10600000,Б/у,седан,1.6,бензин,КПП вариатор,50038,белый,"тонировка, дневные ходовые огни, противо..."
1858,Kia Sportage,Kia,Sportage,2023,18050000,Б/у,кроссовер,2.5,бензин,КПП автомат,17972,белый,"литые диски, тонировка, дневные ходов..."
1859,Toyota Camry,Toyota,Camry,2019,13000000,Б/у,седан,2.5,бензин,КПП автомат,130000,синий,"металлик, литые диски, тонировка, ветров..."
1861,Volkswagen Polo,Volkswagen,Polo,2013,4230000,Б/у,седан,1.6,бензин,КПП автомат,278136,черный,"тонировка, дневные ходовые огни, велюр,..."
1862,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5250000,Б/у,седан,1.5,бензин,КПП автомат,125790,серый,"литые диски, тонировка, дневные ходовые..."
1863,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5760000,Б/у,седан,1.5,бензин,КПП автомат,98584,серый,"литые диски, тонировка, дневные ходовые о..."
1864,Volkswagen Polo,Volkswagen,Polo,2020,6920000,Б/у,лифтбек,1.6,бензин,КПП автомат,157034,коричневый,"литые диски, тонировка, дневные х..."
1865,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5360000,Б/у,седан,1.5,бензин,КПП автомат,90128,белый,"тонировка, ветровики, дневные ходовые огн..."
1866,Kia Soul,Kia,Soul,2014,6920000,Б/у,кроссовер,1.6,бензин,КПП автомат,218350,жёлтый,"литые диски, ветровики, дневные ход..."
1868,Hyundai Elantra,Hyundai,Elantra,2021,10500000,Б/у,седан,1.6,бензин,КПП автомат,61000,серый,"металлик, литые диски, тонировка, обвес,..."
1872,Lexus LX 470,Lexus,LX 470,2000,6500000,Б/у,внедорожник,4.7,бензин,КПП автомат,390000,белый,"металлик, литые диски, тонировка,..."
1875,Porsche Cayenne,Porsche,Cayenne,2011,11500000,Б/у,кроссовер,3.6,бензин,КПП автомат,265000,белый,"литые диски, тонировка, люк, панорам..."
1879,Kia Sorento,Kia,Sorento,2019,17500000,Б/у,кроссовер,3.5,бензин,КПП автомат,37000,серый,"металлик, литые диски, тонировка, фар..."
1880,Kia Cerato,Kia,Cerato,2021,10200000,Б/у,седан,1.6,бензин,КПП автомат,31000,белый,"металлик, литые диски, тонировка, хрустал..."
1881,Toyota Camry,Toyota,Camry,2021,16200000,Б/у,седан,2.5,бензин,КПП автомат,67200,черный,"металлик, литые диски, тонировка, ксенон..."
1883,Nissan Juke,Nissan,Juke,2012,5500000,Б/у,кроссовер,1.6,бензин,КПП вариатор,70000,фиолетовый,"ксенон, дневные ходовые огни, п..."
1885,Lexus ES 350,Lexus,ES 350,2007,7000000,Б/у,седан,3.5,бензин,КПП автомат,225260,белый,"металлик, литые диски, тонировка, люк, в..."
1887,Hyundai Elantra,Hyundai,Elantra,2024,9799999,Б/у,седан,1.5,бензин,КПП вариатор,8,синий,"металлик, кожа, климат-контроль, Новый автомо..."
